Facility_Count,Total_Resident_Days,Total_HPRD,Median_Total_HPRD,RN_HPRD,Median_RN_HPRD,Nurse_Care_HPRD,Median_Nurse_Care_HPRD,RN_Care_HPRD,Median_RN_Care_HPRD,Nurse_Assistant_HPRD,Median_Nurse_Assistant_HPRD,Contract_Staff_Percentage,Median_Contract_Staff_Percentage,RN_Admin_HPRD,Median_RN_Admin_HPRD,RN_DON_HPRD,Median_RN_DON_HPRD,LPN_HPRD,Median_LPN_HPRD,LPN_Admin_HPRD,Median_LPN_Admin_HPRD,CNA_HPRD,Median_CNA_HPRD,NAtr_HPRD,Median_NAtr_HPRD,MedAide_HPRD,Median_MedAide_HPRD,Median_Contract_Percentage,CY_Qtr
13929,110986405.0,3.707,3.68,0.593,0.547,1.459,1.433,0.398,0.347,2.248,2.218,2.099,0.0,0.139,0.089,0.057,0.062,0.8,0.791,0.066,0.0,2.15,2.122,0.028,0.0,0.07,0.0,0.0,2017Q1
13984,110928196.0,3.737,3.707,0.589,0.541,1.459,1.432,0.393,0.34,2.278,2.242,5.017,0.0,0.139,0.089,0.056,0.063,0.803,0.794,0.067,0.0,2.172,2.137,0.074,0.0,0.031,0.0,1.1279993645629682,2017Q2
14477,115927123.0,3.724,3.691,0.583,0.536,1.448,1.42,0.394,0.343,2.276,2.24,2.384,0.0,0.134,0.085,0.056,0.061,0.797,0.787,0.068,0.0,2.171,2.136,0.032,0.0,0.074,0.0,0.0,2017Q3
14142,113276147.0,3.74,3.707,0.592,0.545,1.463,1.433,0.4,0.349,2.278,2.242,2.335,0.0,0.136,0.086,0.056,0.062,0.802,0.791,0.068,0.0,2.173,2.14,0.03,0.0,0.075,0.0,0.0,2017Q4
14677,114865169.0,3.74,3.708,0.606,0.56,1.485,1.459,0.407,0.356,2.255,2.222,2.658,0.0,0.14,0.092,0.059,0.067,0.808,0.797,0.071,0.0,2.154,2.12,0.027,0.0,0.075,0.0,0.0,2018Q1
14662,115386568.0,3.771,3.737,0.607,0.558,1.487,1.46,0.409,0.357,2.284,2.25,2.694,0.0,0.138,0.09,0.059,0.067,0.809,0.798,0.07,0.0,2.178,2.143,0.03,0.0,0.076,0.0,0.0,2018Q2
14871,118152337.0,3.766,3.73,0.601,0.553,1.475,1.444,0.409,0.358,2.291,2.259,2.853,0.0,0.134,0.086,0.058,0.065,0.805,0.792,0.069,0.0,2.182,2.144,0.032,0.0,0.077,0.0,0.0,2018Q3
14916,118727465.0,3.757,3.732,0.606,0.558,1.48,1.453,0.412,0.36,2.277,2.254,2.956,0.0,0.136,0.089,0.058,0.066,0.803,0.792,0.071,0.0,2.168,2.139,0.031,0.0,0.077,0.0,0.0,2018Q4
15058,117339588.0,3.74,3.712,0.616,0.569,1.491,1.463,0.417,0.366,2.248,2.225,2.996,0.0,0.139,0.092,0.06,0.069,0.802,0.789,0.073,0.0,2.141,2.108,0.03,0.0,0.077,0.0,0.0,2019Q1
15020,117986251.0,3.754,3.727,0.616,0.569,1.489,1.461,0.418,0.368,2.265,2.244,3.2,0.0,0.138,0.091,0.059,0.068,0.801,0.787,0.073,0.0,2.152,2.121,0.034,0.0,0.079,0.0,0.0,2019Q2
