Region,Facility_Count,State_Count,Total_Resident_Days,Total_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Staff_Percentage,Median_Contract_Percentage,CY_Qtr
Region 1,845,6,7104170.0,3.824,0.752,1.502,0.518,2.322,2.694,0.0,2017Q1
Region 1,840,6,7014098.0,3.845,0.747,1.506,0.508,2.339,4.321,0.0,2017Q2
Region 1,849,6,7226897.0,3.818,0.726,1.478,0.506,2.34,2.758,0.0,2017Q3
Region 1,830,6,7046039.0,3.814,0.737,1.503,0.514,2.311,2.892,0.0,2017Q4
Region 1,866,6,7295962.0,3.793,0.742,1.504,0.511,2.289,2.925,0.0,2018Q1
Region 1,844,6,7144577.0,3.826,0.736,1.505,0.505,2.322,3.17,0.0,2018Q2
Region 1,874,6,7473423.0,3.745,0.709,1.461,0.494,2.284,3.236,0.0,2018Q3
Region 1,868,6,7478245.0,3.769,0.72,1.488,0.498,2.281,3.368,0.0,2018Q4
Region 1,868,6,7346836.0,3.747,0.711,1.487,0.49,2.26,3.253,0.0,2019Q1
Region 1,867,6,7388505.0,3.756,0.699,1.485,0.481,2.271,3.448,0.0,2019Q2
Region 1,853,6,7421708.0,3.724,0.689,1.466,0.476,2.258,3.922,0.0,2019Q3
Region 1,860,6,7460557.0,3.723,0.688,1.472,0.477,2.251,3.743,0.0,2019Q4
Region 1,661,6,5596114.0,3.802,0.724,1.515,0.51,2.287,3.74,0.0,2020Q1
Region 1,838,6,6140702.0,4.006,0.779,1.652,0.535,2.354,4.799,0.0,2020Q2
Region 1,839,6,6106164.0,3.97,0.776,1.635,0.532,2.335,4.974,0.0,2020Q3
Region 1,843,6,6118235.0,3.991,0.79,1.663,0.539,2.328,5.24,0.0,2020Q4
Region 1,848,6,5935217.0,3.999,0.785,1.668,0.53,2.332,5.395,0.0,2021Q1
Region 1,837,6,6158649.0,3.814,0.734,1.581,0.491,2.233,6.418,0.0,2021Q2
Region 1,832,6,6365776.0,3.643,0.696,1.514,0.469,2.129,7.161,1.844,2021Q3
Region 1,828,6,6362218.0,3.584,0.675,1.482,0.457,2.102,8.162,2.616,2021Q4
Region 1,825,6,6220430.0,3.667,0.691,1.511,0.461,2.156,9.579,3.537,2022Q1
Region 1,819,6,6344086.0,3.676,0.685,1.504,0.459,2.172,10.813,5.043,2022Q2
Region 1,817,6,6504827.0,3.664,0.674,1.49,0.454,2.174,12.054,6.44,2022Q3
Region 1,821,6,6587970.0,3.676,0.667,1.494,0.455,2.182,12.857,7.602,2022Q4
Region 1,815,6,6512641.0,3.714,0.679,1.516,0.46,2.198,13.015,7.826,2023Q1
Region 1,811,6,6534779.0,3.763,0.679,1.522,0.46,2.241,13.076,7.773,2023Q2
Region 1,807,6,6617304.0,3.719,0.663,1.496,0.452,2.222,12.359,7.038,2023Q3
Region 1,805,6,6644063.0,3.724,0.664,1.5,0.456,2.224,11.238,5.773,2023Q4
