STATE,Facility_Count,Total_Resident_Days,Total_HPRD,Median_Total_HPRD,RN_HPRD,Median_RN_HPRD,Nurse_Care_HPRD,Median_Nurse_Care_HPRD,RN_Care_HPRD,Median_RN_Care_HPRD,Nurse_Assistant_HPRD,Median_Nurse_Assistant_HPRD,Contract_Staff_Percentage,Median_Contract_Staff_Percentage,RN_Admin_HPRD,Median_RN_Admin_HPRD,RN_DON_HPRD,Median_RN_DON_HPRD,LPN_HPRD,Median_LPN_HPRD,LPN_Admin_HPRD,Median_LPN_Admin_HPRD,CNA_HPRD,Median_CNA_HPRD,NAtr_HPRD,Median_NAtr_HPRD,MedAide_HPRD,Median_MedAide_HPRD,CY_Qtr
AK,10,41468.0,6.61,6.772,1.764,1.861,2.481,2.626,1.126,1.222,4.129,4.2,0.465,0.0,0.548,0.478,0.09,0.083,0.699,0.663,0.017,0.0,4.053,4.118,0.032,0.0,0.044,0.0,2017Q1
AK,11,43431.0,6.678,6.841,1.814,2.02,2.504,2.625,1.188,1.33,4.174,4.27,2.258,0.0,0.541,0.356,0.085,0.053,0.674,0.561,0.017,0.0,4.11,4.196,0.043,0.0,0.021,0.0,2017Q2
AK,12,47220.0,6.518,6.669,1.754,1.75,2.486,2.587,1.168,1.2,4.032,4.176,1.792,0.0,0.489,0.364,0.098,0.085,0.702,0.6,0.03,0.0,3.946,4.044,0.047,0.0,0.038,0.0,2017Q3
AK,13,48686.0,6.647,6.786,1.832,1.902,2.551,2.687,1.171,1.2,4.097,4.194,2.407,0.0,0.542,0.525,0.119,0.092,0.686,0.579,0.033,0.0,4.016,4.088,0.047,0.0,0.034,0.0,2017Q4
AK,10,38432.0,6.469,6.623,1.752,1.769,2.398,2.416,1.153,1.138,4.071,4.157,2.167,0.0,0.465,0.347,0.133,0.135,0.562,0.471,0.084,0.0,3.996,4.058,0.023,0.0,0.052,0.0,2018Q1
AK,10,43665.0,6.338,6.457,1.764,1.626,2.429,2.55,1.175,1.126,3.909,4.042,1.935,0.0,0.477,0.441,0.112,0.094,0.625,0.594,0.04,0.0,3.852,3.932,0.014,0.0,0.043,0.0,2018Q2
AK,12,48832.0,6.307,6.612,1.76,1.755,2.358,2.457,1.252,1.268,3.949,4.095,3.977,0.0,0.433,0.368,0.075,0.0,0.564,0.445,0.033,0.0,3.897,4.016,0.012,0.0,0.04,0.0,2018Q3
AK,11,45554.0,6.334,6.501,1.868,1.851,2.488,2.649,1.355,1.386,3.846,3.979,2.496,0.0,0.414,0.292,0.099,0.083,0.591,0.531,0.029,0.0,3.793,3.862,0.016,0.0,0.037,0.0,2018Q4
AK,10,44207.0,6.361,6.5,1.848,1.859,2.523,2.687,1.338,1.361,3.838,3.84,2.62,0.0,0.418,0.308,0.091,0.083,0.636,0.577,0.039,0.0,3.764,3.75,0.035,0.0,0.039,0.0,2019Q1
AK,9,43262.0,6.249,6.365,1.833,1.815,2.51,2.405,1.285,1.312,3.74,3.817,0.853,0.0,0.465,0.339,0.083,0.084,0.653,0.556,0.024,0.0,3.681,3.708,0.014,0.0,0.044,0.0,2019Q2
